date,home_team,away_team,home_team_elo,away_team_elo,elo_diff,home_qualified,away_qualified,home_team_total_matches,home_team_total_wins,home_team_total_draws,home_team_total_losses,home_team_win_rate,home_team_draw_rate,home_team_loss_rate,home_team_goals_scored,home_team_goals_conceded,home_team_avg_goals_scored,home_team_avg_goals_conceded,home_team_goal_diff_per_match,home_team_xg_for,home_team_xg_against,home_team_avg_xg_for,home_team_avg_xg_against,home_team_xg_diff_per_match,home_team_xg_overperf,home_team_yellow_cards,home_team_avg_yellow_cards,home_team_clean_sheets,home_team_clean_sheet_rate,away_team_total_matches,away_team_total_wins,away_team_total_draws,away_team_total_losses,away_team_win_rate,away_team_draw_rate,away_team_loss_rate,away_team_goals_scored,away_team_goals_conceded,away_team_avg_goals_scored,away_team_avg_goals_conceded,away_team_goal_diff_per_match,away_team_xg_for,away_team_xg_against,away_team_avg_xg_for,away_team_avg_xg_against,away_team_xg_diff_per_match,away_team_xg_overperf,away_team_yellow_cards,away_team_avg_yellow_cards,away_team_clean_sheets,away_team_clean_sheet_rate,goal_diff,def_diff,xg_for_diff,xg_against_diff,win_rate_diff,home_team_encoded,away_team_encoded
2022-11-20 19:00:00,qatar,ecuador,53,44,9,1,1,11,6,2,3,0.5454545454545454,0.18181818181818182,0.2727272727272727,18,13,1.6363636363636365,1.1818181818181819,0.4545454545454546,17.95,13.57,1.6318181818181818,1.2336363636363636,0.3981818181818182,0.00454545454545461,24,2.1818181818181817,3,0.2727272727272727,7,2,3,2,0.2857142857142857,0.42857142857142855,0.2857142857142857,9,7,1.2857142857142858,1.0,0.2857142857142858,9.239999999999998,6.88,1.3199999999999998,0.9828571428571429,0.33714285714285697,-0.034285714285714065,9,1.2857142857142858,2,0.2857142857142857,0.35064935064935066,0.18181818181818188,0.311818181818182,-0.25077922077922077,0.2597402597402597,56,23
2022-11-21 16:00:00,england,iran,4,26,22,1,1,12,6,4,2,0.5,0.3333333333333333,0.16666666666666666,21,10,1.75,0.8333333333333334,0.9166666666666666,14.860000000000001,11.08,1.2383333333333335,0.9233333333333333,0.31500000000000017,0.5116666666666666,16,1.3333333333333333,5,0.4166666666666667,9,5,1,3,0.5555555555555556,0.1111111111111111,0.3333333333333333,16,13,1.7777777777777777,1.4444444444444444,0.33333333333333326,16.6,11.700000000000001,1.8444444444444446,1.3,0.5444444444444445,-0.06666666666666682,19,2.111111111111111,3,0.3333333333333333,-0.02777777777777768,-0.611111111111111,-0.606111111111111,0.3766666666666667,-0.05555555555555558,22,42
2022-11-21 19:00:00,senegal,netherlands,18,7,11,1,1,8,5,1,2,0.625,0.125,0.25,14,9,1.75,1.125,0.625,13.1,7.9,1.6375,0.9875,0.6499999999999999,0.11250000000000004,14,1.75,2,0.25,11,6,3,2,0.5454545454545454,0.2727272727272727,0.18181818181818182,20,11,1.8181818181818181,1.0,0.8181818181818181,12.92,12.64,1.1745454545454546,1.1490909090909092,0.025454545454545396,0.6436363636363637,12,1.0909090909090908,4,0.36363636363636365,-0.06818181818181812,0.125,0.4629545454545454,0.16159090909090912,0.07954545454545459,60,57
2022-11-21 22:00:00,united states,wales,16,30,14,1,0,13,6,3,4,0.46153846153846156,0.23076923076923078,0.3076923076923077,19,13,1.4615384615384615,1.0,0.46153846153846145,17.26,13.16,1.3276923076923077,1.0123076923076924,0.3153846153846154,0.13384615384615373,22,1.6923076923076923,5,0.38461538461538464,3,0,1,2,0.0,0.3333333333333333,0.6666666666666666,1,6,0.3333333333333333,2.0,-1.6666666666666667,2.7,4.6,0.9,1.5333333333333332,-0.6333333333333332,-0.5666666666666668,4,1.3333333333333333,0,0.0,1.1282051282051282,-1.0,0.4276923076923077,0.5210256410256409,0.46153846153846156,75,89
2022-11-22 13:00:00,argentina,saudi arabia,2,63,61,1,1,11,7,3,1,0.6363636363636364,0.2727272727272727,0.09090909090909091,21,9,1.9090909090909092,0.8181818181818182,1.0909090909090908,24.0,7.75,2.1818181818181817,0.7045454545454546,1.477272727272727,-0.2727272727272727,8,0.7272727272727273,6,0.5454545454545454,11,5,2,4,0.45454545454545453,0.18181818181818182,0.36363636363636365,12,12,1.0909090909090908,1.0909090909090908,0.0,13.71,15.370000000000001,1.2463636363636363,1.3972727272727274,-0.1509090909090911,-0.15545454545454554,30,2.727272727272727,2,0.18181818181818182,0.8181818181818183,-0.2727272727272726,0.9354545454545453,0.6927272727272729,0.18181818181818182,2,68
2022-11-22 16:00:00,denmark,tunisia,20,37,17,1,1,7,0,4,3,0.0,0.5714285714285714,0.42857142857142855,3,7,0.42857142857142855,1.0,-0.5714285714285714,6.93,8.74,0.99,1.2485714285714287,-0.2585714285714287,-0.5614285714285714,14,2.0,2,0.2857142857142857,6,1,4,1,0.16666666666666666,0.6666666666666666,0.16666666666666666,2,2,0.3333333333333333,0.3333333333333333,0.0,4.9,5.3,0.8166666666666668,0.8833333333333333,-0.06666666666666654,-0.4833333333333334,13,2.1666666666666665,4,0.6666666666666666,0.09523809523809523,0.6666666666666667,0.17333333333333323,-0.36523809523809536,-0.16666666666666666,18,82
2022-11-22 19:00:00,mexico,poland,17,24,7,1,1,12,7,3,2,0.5833333333333334,0.25,0.16666666666666666,13,7,1.0833333333333333,0.5833333333333334,0.4999999999999999,17.79,8.73,1.4825,0.7275,0.7549999999999999,-0.3991666666666666,29,2.4166666666666665,7,0.5833333333333334,7,1,2,4,0.14285714285714285,0.2857142857142857,0.5714285714285714,6,11,0.8571428571428571,1.5714285714285714,-0.7142857142857143,8.66,13.209999999999999,1.237142857142857,1.887142857142857,-0.6499999999999999,-0.38,17,2.4285714285714284,2,0.2857142857142857,0.22619047619047616,-0.988095238095238,0.24535714285714283,1.159642857142857,0.4404761904761905,45,64
2022-11-22 22:00:00,france,australia,3,23,20,1,1,13,7,4,2,0.5384615384615384,0.3076923076923077,0.15384615384615385,20,11,1.5384615384615385,0.8461538461538461,0.6923076923076924,22.78,15.11,1.7523076923076923,1.1623076923076923,0.5900000000000001,-0.21384615384615394,17,1.3076923076923077,5,0.38461538461538464,9,5,1,3,0.5555555555555556,0.1111111111111111,0.3333333333333333,14,9,1.5555555555555556,1.0,0.5555555555555556,13.0,12.2,1.4444444444444444,1.3555555555555554,0.08888888888888902,0.1111111111111111,18,2.0,5,0.5555555555555556,-0.017094017094017033,-0.15384615384615385,0.3078632478632479,0.19324786324786314,-0.017094017094017144,24,4
2022-11-23 13:00:00,morocco,croatia,15,11,4,1,1,11,5,3,3,0.45454545454545453,0.2727272727272727,0.2727272727272727,11,8,1.0,0.7272727272727273,0.2727272727272727,12.6,11.8,1.1454545454545455,1.0727272727272728,0.07272727272727275,-0.14545454545454542,16,1.4545454545454546,6,0.5454545454545454,10,2,6,2,0.2,0.6,0.2,11,13,1.1,1.3,-0.19999999999999996,13.549999999999999,15.370000000000001,1.355,1.5370000000000001,-0.18200000000000016,-0.2549999999999999,24,2.4,2,0.2,-0.10000000000000009,-0.5727272727272728,-0.20954545454545448,0.4642727272727274,0.2545454545454545,46,18
2022-11-23 16:00:00,germany,japan,10,12,2,1,1,8,4,2,2,0.5,0.25,0.25,17,9,2.125,1.125,1.0,19.94,7.79,2.4925,0.97375,1.5187500000000003,-0.36750000000000016,15,1.875,2,0.25,9,6,1,2,0.6666666666666666,0.1111111111111111,0.2222222222222222,19,11,2.111111111111111,1.2222222222222223,0.8888888888888888,18.4,13.0,2.0444444444444443,1.4444444444444444,0.5999999999999999,0.06666666666666682,17,1.8888888888888888,0,0.0,0.01388888888888884,-0.09722222222222232,0.4480555555555559,0.4706944444444444,-0.16666666666666663,26,47
