,total_matches,total_wins,total_draws,total_losses,win_rate,draw_rate,loss_rate,goals_scored,goals_conceded,avg_goals_scored,avg_goals_conceded,goal_diff_per_match,xg_for,xg_against,avg_xg_for,avg_xg_against,xg_diff_per_match,xg_overperf,yellow_cards,avg_yellow_cards,clean_sheets,clean_sheet_rate
mozambique,3,0,2,1,0.0,0.6666666666666666,0.3333333333333333,4,7,1.3333333333333333,2.3333333333333335,-1.0000000000000002,3.6,6.0,1.2,2.0,-0.8,0.1333333333333333,8,2.6666666666666665,0,0.0
cape verde,5,4,1,0,0.8,0.2,0.0,8,2,1.6,0.4,1.2000000000000002,9.8,5.5,1.9600000000000002,1.1,0.8600000000000001,-0.36000000000000015,10,2.0,3,0.6
gambia,1,0,0,1,0.0,0.0,1.0,0,3,0.0,3.0,-3.0,0.8,2.6,0.8,2.6,-1.8,-0.8,2,2.0,0,0.0
algeria,3,0,1,2,0.0,0.3333333333333333,0.6666666666666666,3,5,1.0,1.6666666666666667,-0.6666666666666667,4.5,5.0,1.5,1.6666666666666667,-0.16666666666666674,-0.5,7,2.3333333333333335,0,0.0
angola,1,1,0,0,1.0,0.0,0.0,2,1,2.0,1.0,1.0,2.1,1.6,2.1,1.6,0.5,-0.10000000000000009,3,3.0,0,0.0
namibia,2,0,1,1,0.0,0.5,0.5,0,4,0.0,2.0,-2.0,1.2,4.6,0.6,2.3,-1.6999999999999997,-0.6,3,1.5,1,0.5
mali,3,1,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,4,3,1.3333333333333333,1.0,0.33333333333333326,4.699999999999999,3.5999999999999996,1.5666666666666664,1.2,0.3666666666666665,-0.2333333333333331,6,2.0,1,0.3333333333333333
south africa,7,2,4,1,0.2857142857142857,0.5714285714285714,0.14285714285714285,7,3,1.0,0.42857142857142855,0.5714285714285714,11.5,8.7,1.6428571428571428,1.2428571428571427,0.40000000000000013,-0.6428571428571429,14,2.0,5,0.7142857142857143
tanzania,2,0,1,1,0.0,0.5,0.5,0,3,0.0,1.5,-1.5,1.1,4.1,0.55,2.05,-1.4999999999999998,-0.55,3,1.5,1,0.5
dr congo,7,1,5,1,0.14285714285714285,0.7142857142857143,0.14285714285714285,6,5,0.8571428571428571,0.7142857142857143,0.1428571428571428,11.0,8.9,1.5714285714285714,1.2714285714285716,0.2999999999999998,-0.7142857142857143,17,2.4285714285714284,2,0.2857142857142857
zambia,2,0,1,1,0.0,0.5,0.5,1,2,0.5,1.0,-0.5,1.5,2.8,0.75,1.4,-0.6499999999999999,-0.25,4,2.0,0,0.0
nigeria,3,1,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,3,1.0,1.0,0.0,4.300000000000001,4.4,1.4333333333333336,1.4666666666666668,-0.033333333333333215,-0.43333333333333357,7,2.3333333333333335,1,0.3333333333333333
burkina faso,1,0,1,0,0.0,1.0,0.0,2,2,2.0,2.0,0.0,1.5,1.8,1.5,1.8,-0.30000000000000004,0.5,2,2.0,0,0.0
equatorial guinea,1,1,0,0,1.0,0.0,0.0,4,0,4.0,0.0,4.0,3.2,0.6,3.2,0.6,2.6,0.7999999999999998,2,2.0,1,1.0
